text,label
美媒称以黎就停火达成一致 黎真主党未表态,1
乌媒称乌议员提交议案草案 拟降低服兵役年龄,1
日本新型固体燃料火箭试验再次发生异常,0
美国国债突破36万亿美元 债务螺旋带来严峻考验！,0
印尼北苏门答腊卡罗县洪灾已造成10人死亡,0
埃及沉船事故已找到28名幸存者 2名中国游客获救,2
英媒：英国拟启动50年来最大地方政府改革,1
特稿｜挑战与希望并存 巴库气候大会传递气候多边主义积极信号,2
一架载有6人的飞机在哥斯达黎加坠毁 飞机残骸已找到,0
美法官驳回特朗普涉嫌干预2020年选举案 特朗普发声,0
日本鸟岛附近海域发生5.4级地震 暂无海啸风险,1
美法官驳回特朗普涉嫌干预2020年选举案 特朗普发声,0
巨额财政赤字导致美国联邦政府债务创新高,0
伊朗最高领袖顾问：伊朗正准备“回应”以色列,0
巴西阿拉戈斯州大巴坠崖已致17人遇难,0
美国加州长滩市发生枪击事件致一死一伤,0
奥尔西赢得乌拉圭总统选举 曾是一名历史老师,1
美国一男子遭入室抢劫向警方求助 反被警察开枪打死,0
苏丹北达尔富尔州两起袭击事件致22人死亡,0
以色列空袭黎军哨所致一名士兵死亡,0
联合国特使呼吁避免使叙利亚陷入地区冲突,1
新华社快讯：乌拉圭执政党候选人阿尔瓦罗·德尔加多宣布在总统选举第二轮投票中败选,1
巴库气候大会闭幕 达成2025年后气候资金目标,2
美国一男子遭入室抢劫向警方求助 反被警察开枪打死,0
普京：“榛树”导弹将量产并列装战略导弹部队,2
拜登举办白宫晚宴感谢支持者 期间哽咽洒泪,2
联合国：2024年全球人道主义工作者遇难人数创新高,0
外媒：以色列空袭加沙地带 一夜间造成19人死亡,0
为推动构建公正的世界和可持续的星球贡献力量,2
热点问答｜国际刑事法院向内塔尼亚胡发逮捕令有何影响,0
美国驻英大使馆附近发生“巨响” 道路已封锁,0
中韩双方将交接第十一批在韩中国人民志愿军烈士遗骸,2
金正恩说朝鲜应推动武器装备更新升级,2
外媒：芬兰宣布退出巴伦支海欧洲-北极圈理事会,1
日本三重县一小型巴士坠河 已致11人受伤,0
马克龙一句“白痴”，法国大使被紧急召见,0
美媒：特朗普正考虑对FBI领导层进行改组,1
加拿大就业部长因卷入两桩风波而辞职,0
普京证实：对乌实战测试新型中程高超音速导弹,0
西班牙与巴勒斯坦举行首次双边政府间会议,2
芬兰宣布将退出巴伦支海欧洲-北极圈理事会,1
伊拉克总理同俄罗斯总统通电话讨论中东局势,1
美国代表举手一票否决巴勒斯坦代表捶桌怒斥,0
巴勒斯坦在押人员狱中坚持抵抗,1
美司法部提议拆分谷歌浏览器业务,0
被指“冒充原住民身份”加拿大就业部长辞职,0
英国议会批准“铁路重归国有”改革法案,2
荷兰将实施全国性家禽圈养以应对禽流感疫情,1
俄财长：已对冻结俄资产的国家采取对等措施,0
伊朗总统：将与卡塔尔建立更广泛更深入的关系,2
乌用英“风暴之影”导弹打击俄境内目标,0
外媒：美国驻乌克兰大使馆已重新开放,2
韩媒：文在寅之女因涉嫌酒驾被移送检方,0
美国在安理会再次否决加沙停火决议草案,0
乌兹别克斯坦总统再次任命阿里波夫为总理,1
法国遭遇强冷空气 全法28个省份发布橙色警报,0
德国10月生产者价格指数同比下降1.1%,0
“炸弹气旋”袭击加拿大西南海岸 仍有9万户断电,0
乌克兰首用美导弹系统袭俄本土,0
美“星舰”火箭再次试飞 助推器未按计划返回,0
美称黎以分歧“显著缩小”以军与真主党依旧互攻,0
哈马斯重拳打击盗抢物资 显示仍在管治加沙,2
巴基斯坦西北部一检查站遇袭 致12名军警死亡,0
俄官员称在俄境内打死一名美军游骑兵,0
法国农民抗议示威持续 官方寻找应对之道,0
特朗普提名霍华德·卢特尼克任商务部长,1
世卫组织批准第二款猴痘疫苗投入使用,2
外媒：美国批准向乌克兰提供反步兵地雷,0
美国财政部：将对哈马斯6名高级官员实施制裁,0
普京批准新版俄罗斯核威慑国家基本政策,2
联合国称两个月内超过200名儿童在黎巴嫩遇害,0
